DateTime,03FEIND.03CO2AR1.PNT
1/1/2022 16:05:00,1194.62890625
1/1/2022 16:10:00,1214.208984375
1/1/2022 16:15:00,1201.171875
1/1/2022 16:20:00,1222.900390625
1/1/2022 16:25:00,1204.736328125
1/1/2022 16:30:00,1201.7578125
1/1/2022 16:35:00,1206.982421875
1/1/2022 16:40:00,1231.982421875
1/1/2022 16:45:00,1222.36328125
1/1/2022 16:50:00,1230.76171875
1/1/2022 16:55:00,1246.875
1/1/2022 17:00:00,1261.181640625
1/1/2022 17:05:00,1280.95703125
1/1/2022 17:10:00,1278.564453125
1/1/2022 17:15:00,1281.640625
1/1/2022 17:20:00,1306.494140625
1/1/2022 17:25:00,1297.314453125
1/1/2022 17:30:00,1322.802734375
1/1/2022 17:35:00,1289.6484375
1/1/2022 17:40:00,1283.0078125
1/1/2022 17:45:00,1270.068359375
1/1/2022 17:50:00,1281.25
1/1/2022 17:55:00,1276.318359375
1/1/2022 18:00:00,1255.078125
1/1/2022 18:05:00,1232.177734375
1/1/2022 18:10:00,1214.501953125
1/1/2022 18:15:00,1218.06640625
1/1/2022 18:20:00,1253.369140625
1/1/2022 18:25:00,1274.4140625
1/1/2022 18:30:00,1289.55078125
1/1/2022 18:35:00,1335.05859375
1/1/2022 18:40:00,1368.798828125
1/1/2022 18:45:00,1397.94921875
1/1/2022 18:50:00,1417.48046875
1/1/2022 18:55:00,1385.791015625
1/1/2022 19:00:00,1342.529296875
1/1/2022 19:05:00,1313.134765625
1/1/2022 19:10:00,1298.2421875
1/1/2022 19:15:00,1271.97265625
1/1/2022 19:20:00,1258.349609375
1/1/2022 19:25:00,1261.767578125
1/1/2022 19:30:00,1205.322265625
1/1/2022 19:35:00,1206.005859375
1/1/2022 19:40:00,1193.1640625
1/1/2022 19:45:00,1183.10546875
1/1/2022 19:50:00,1157.32421875
1/1/2022 19:55:00,1150.9765625
1/1/2022 20:00:00,1146.435546875
1/1/2022 20:05:00,1141.69921875
1/1/2022 20:10:00,1134.033203125
1/1/2022 20:15:00,1141.11328125
1/1/2022 20:20:00,1129.78515625
1/1/2022 20:25:00,1125.048828125
1/1/2022 20:30:00,1136.669921875
1/1/2022 20:35:00,1121.97265625
1/1/2022 20:40:00,1126.708984375
1/1/2022 20:45:00,1126.904296875
1/1/2022 20:50:00,1133.10546875
1/1/2022 20:55:00,1127.783203125
1/1/2022 21:00:00,1135.009765625
1/1/2022 21:05:00,1137.353515625
1/1/2022 21:10:00,1127.099609375
1/1/2022 21:15:00,1138.0859375
1/1/2022 21:20:00,1139.6484375
1/1/2022 21:25:00,1148.046875
1/1/2022 21:30:00,1158.7890625
1/1/2022 21:35:00,1173.291015625
1/1/2022 21:40:00,1170.458984375
1/1/2022 21:45:00,1182.91015625
1/1/2022 21:50:00,1191.796875
1/1/2022 21:55:00,1193.84765625
1/1/2022 22:00:00,1182.71484375
1/1/2022 22:05:00,1191.30859375
1/1/2022 22:10:00,1182.6171875
1/1/2022 22:15:00,1180.712890625
1/1/2022 22:20:00,1191.40625
1/1/2022 22:25:00,1185.546875
1/1/2022 22:30:00,1197.509765625
1/1/2022 22:35:00,1209.5703125
1/1/2022 22:40:00,1207.958984375
1/1/2022 22:45:00,1230.37109375
1/1/2022 22:50:00,1233.154296875
1/1/2022 22:55:00,1221.19140625
1/1/2022 23:00:00,1208.544921875
1/1/2022 23:05:00,1193.65234375
1/1/2022 23:10:00,1179.541015625
1/1/2022 23:15:00,1172.998046875
1/1/2022 23:20:00,1158.984375
1/1/2022 23:25:00,1145.751953125
1/1/2022 23:30:00,1144.580078125
1/1/2022 23:35:00,1144.970703125
1/1/2022 23:40:00,1132.32421875
1/1/2022 23:45:00,1136.083984375
1/1/2022 23:50:00,1121.58203125
1/1/2022 23:55:00,1110.888671875
1/2/2022 00:00:00,1138.4765625
1/2/2022 00:05:00,1160.205078125
1/2/2022 00:10:00,1165.4296875
1/2/2022 00:15:00,1207.568359375
1/2/2022 00:20:00,1184.9609375
1/2/2022 00:25:00,1190.869140625
1/2/2022 00:30:00,1184.08203125
1/2/2022 00:35:00,1165.13671875
1/2/2022 00:40:00,1157.32421875
1/2/2022 00:45:00,1130.46875
1/2/2022 00:50:00,1116.357421875
1/2/2022 00:55:00,1094.04296875
1/2/2022 01:00:00,1094.62890625
1/2/2022 01:05:00,1114.0625
1/2/2022 01:10:00,1120.3125
1/2/2022 01:15:00,1157.12890625
1/2/2022 01:20:00,1165.234375
1/2/2022 01:25:00,1203.61328125
1/2/2022 01:30:00,1214.404296875
1/2/2022 01:35:00,1204.833984375
1/2/2022 01:40:00,1185.9375
1/2/2022 01:45:00,1182.421875
1/2/2022 01:50:00,1151.513671875
1/2/2022 01:55:00,1166.796875
1/2/2022 02:00:00,1154.833984375
1/2/2022 02:05:00,1151.220703125
1/2/2022 02:10:00,1133.642578125
1/2/2022 02:15:00,1121.97265625
1/2/2022 02:20:00,1136.865234375
1/2/2022 02:25:00,1148.73046875
1/2/2022 02:30:00,1183.69140625
1/2/2022 02:35:00,1247.75390625
1/2/2022 02:40:00,1240.576171875
1/2/2022 02:45:00,1249.267578125
1/2/2022 02:50:00,1261.083984375
1/2/2022 02:55:00,1264.74609375
1/2/2022 03:00:00,1280.46875
1/2/2022 03:05:00,1298.92578125
1/2/2022 03:10:00,1278.564453125
1/2/2022 03:15:00,1257.03125
1/2/2022 03:20:00,1197.412109375
1/2/2022 03:25:00,1154.541015625
1/2/2022 03:30:00,1146.77734375
1/2/2022 03:35:00,1134.814453125
1/2/2022 03:40:00,1124.658203125
1/2/2022 03:45:00,1108.642578125
1/2/2022 03:50:00,1092.724609375
1/2/2022 03:55:00,1085.44921875
1/2/2022 04:00:00,1085.44921875
1/2/2022 04:05:00,1085.64453125
1/2/2022 04:10:00,1114.94140625
1/2/2022 04:15:00,1108.740234375
1/2/2022 04:20:00,1104.58984375
1/2/2022 04:25:00,1106.982421875
1/2/2022 04:30:00,1116.357421875
1/2/2022 04:35:00,1124.4140625
1/2/2022 04:40:00,1104.1015625
1/2/2022 04:45:00,1115.4296875
1/2/2022 04:50:00,1103.7109375
1/2/2022 04:55:00,1106.689453125
1/2/2022 05:00:00,1095.60546875
1/2/2022 05:05:00,1095.99609375
1/2/2022 05:10:00,1086.1328125
1/2/2022 05:15:00,1087.5
1/2/2022 05:20:00,1079.19921875
1/2/2022 05:25:00,1098.291015625
1/2/2022 05:30:00,1098.291015625
1/2/2022 05:35:00,1101.904296875
1/2/2022 05:40:00,1098.681640625
1/2/2022 05:45:00,1105.2734375
1/2/2022 05:50:00,1108.154296875
1/2/2022 05:55:00,1115.4296875
1/2/2022 06:00:00,1157.03125
1/2/2022 06:05:00,1151.416015625
1/2/2022 06:10:00,1140.72265625
1/2/2022 06:15:00,1143.408203125
1/2/2022 06:20:00,1153.955078125
